TierID_TVD;Rasse;ebv_LBEB_FUGLIEDERSTAERKE;rel_LBEB_FUGLIEDERSTAERKE;nDau_LBEB_FUGLIEDERSTAERKE;nHerd_LBEB_FUGLIEDERSTAERKE;ebv_LBEB_FUSTELLUNGVORNE;rel_LBEB_FUSTELLUNGVORNE;nDau_LBEB_FUSTELLUNGVORNE;nHerd_LBEB_FUSTELLUNGVORNE;ebv_LBEB_FUSPRUNGGELENKWINKELUNG;rel_LBEB_FUSPRUNGGELENKWINKELUNG;nDau_LBEB_FUSPRUNGGELENKWINKELUNG;nHerd_LBEB_FUSPRUNGGELENKWINKELUNG;ebv_LBEB_FUFESSELN;rel_LBEB_FUFESSELN;nDau_LBEB_FUFESSELN;nHerd_LBEB_FUFESSELN;ebv_LBEB_FUKLAUEN;rel_LBEB_FUKLAUEN;nDau_LBEB_FUKLAUEN;nHerd_LBEB_FUKLAUEN;ebv_LBEB_FOEUTERLAENGE;rel_LBEB_FOEUTERLAENGE;nDau_LBEB_FOEUTERLAENGE;nHerd_LBEB_FOEUTERLAENGE;ebv_LBEB_FOEUTERTIEFE;rel_LBEB_FOEUTERTIEFE;nDau_LBEB_FOEUTERTIEFE;nHerd_LBEB_FOEUTERTIEFE;ebv_LBEB_FOZITZENLAENGE;rel_LBEB_FOZITZENLAENGE;nDau_LBEB_FOZITZENLAENGE;nHerd_LBEB_FOZITZENLAENGE;ebv_LBEB_FOZITZENDICKE;rel_LBEB_FOZITZENDICKE;nDau_LBEB_FOZITZENDICKE;nHerd_LBEB_FOZITZENDICKE;ebv_LBEB_BEKONDITION;rel_LBEB_BEKONDITION;nDau_LBEB_BEKONDITION;nHerd_LBEB_BEKONDITION;ebv_LBEB_BESCHULTER;rel_LBEB_BESCHULTER;nDau_LBEB_BESCHULTER;nHerd_LBEB_BESCHULTER;ebv_LBEB_BELENDEN;rel_LBEB_BELENDEN;nDau_LBEB_BELENDEN;nHerd_LBEB_BELENDEN;ebv_LBEB_BESTOTZENRUNDUNG;rel_LBEB_BESTOTZENRUNDUNG;nDau_LBEB_BESTOTZENRUNDUNG;nHerd_LBEB_BESTOTZENRUNDUNG;ebv_LBEB_BESTOTZENLAENGE;rel_LBEB_BESTOTZENLAENGE;nDau_LBEB_BESTOTZENLAENGE;nHerd_LBEB_BESTOTZENLAENGE
AT006537133455;SF;107.428;0.074;1;1;104.689;0.06;1;1;90.273;0.076;1;1;95.214;0.076;1;1;108.043;0.045;1;1;142.598;0.057;1;1;70.836;0.061;1;1;101.554;0.098;1;1;111.778;0.079;1;1;81.272;0.065;1;1;96.327;0.077;1;1;76.083;0.073;1;1;49.649;0.077;1;1;114.024;0.062;1;1
AT006621707142;SI;112.539;0.062;1;1;92.152;0.05;1;1;94.586;0.063;1;1;90.253;0.063;1;1;120.488;0.037;1;1;132.377;0.047;1;1;80.09;0.051;1;1;107.582;0.083;1;1;106.828;0.066;1;1;86.864;0.054;1;1;89.142;0.064;1;1;83.61;0.061;1;1;63.571;0.064;1;1;90.099;0.052;1;1
AT007041993078;SI;108.312;0.061;1;1;97.31;0.049;1;1;97.822;0.063;1;1;98.149;0.063;1;1;114.448;0.037;1;1;124.332;0.047;1;1;82.467;0.05;1;1;104.904;0.082;1;1;107.912;0.066;1;1;89.177;0.053;1;1;85.82;0.063;1;1;82.328;0.06;1;1;60.433;0.063;1;1;87.051;0.051;1;1
AT007547766473;SI;105.796;0.075;1;1;100.917;0.061;1;1;92.169;0.077;1;1;90.025;0.077;1;1;117.435;0.045;1;1;129.538;0.058;1;1;77.248;0.062;1;1;110.066;0.1;1;1;109.861;0.081;1;1;85.058;0.066;1;1;82.22;0.078;1;1;78.422;0.074;1;1;54.227;0.078;1;1;82.75;0.063;1;1
AT007566123073;SF;103.459;0.066;1;1;103.204;0.053;1;1;89.245;0.068;1;1;93.628;0.068;1;1;113.716;0.04;1;1;123.444;0.051;1;1;82.977;0.055;1;1;108.093;0.088;1;1;108.917;0.071;1;1;85.849;0.057;1;1;80.979;0.069;1;1;78.936;0.065;1;1;52.473;0.068;1;1;82.847;0.055;1;1
AT009686272167;SI;108.453;0.059;1;1;96.348;0.048;1;1;90.083;0.061;1;1;96.537;0.061;1;1;110.971;0.036;1;1;124.163;0.046;1;1;80.665;0.049;1;1;108.004;0.079;1;1;105.628;0.063;1;1;90.238;0.051;1;1;85.532;0.061;1;1;79.676;0.058;1;1;58.854;0.061;1;1;89.204;0.05;1;1
AT009704331166;SI;110.44;0.059;1;1;88.882;0.048;1;1;99.911;0.061;1;1;92.824;0.061;1;1;123.407;0.036;1;1;133.671;0.046;1;1;78.02;0.049;1;1;110.434;0.08;1;1;108.291;0.064;1;1;86.063;0.052;1;1;95.382;0.062;1;1;89.449;0.058;1;1;71.15;0.061;1;1;94.773;0.05;1;1
AU000000000081;AN;109.303;0.194;1;1;74.881;0.167;1;1;91.257;0.2;1;1;94.733;0.199;1;1;94.124;0.138;1;1;152.072;0.163;1;1;85.356;0.171;1;1;107.297;0.235;1;1;106.667;0.203;1;1;112.584;0.183;1;1;115.996;0.215;1;1;100.543;0.203;1;1;71.396;0.21;1;1;116.414;0.181;1;1
AU000000000418;AN;117.435;0.363;3;3;92.794;0.322;3;3;99.359;0.367;3;3;100.771;0.367;3;3;104.267;0.248;3;3;136.618;0.313;3;3;84.897;0.326;3;3;114.689;0.421;3;3;107.759;0.373;3;3;116.376;0.34;3;3;114.688;0.39;3;3;102.901;0.372;3;3;71.355;0.384;3;3;113.395;0.332;3;3
AU000000001330;AN;112.641;0.217;4;3;95.194;0.181;4;3;104.576;0.219;4;3;110.441;0.219;4;3;99.46;0.135;4;3;141.455;0.173;4;3;85.496;0.184;4;3;105.709;0.274;4;3;101.972;0.226;4;3;108.538;0.191;4;3;102.519;0.225;4;3;95.328;0.214;4;3;62.485;0.224;4;3;108.958;0.185;4;3
