TierID_TVD;Rasse;ebv_LBEB_FUGLIEDERSTAERKE;rel_LBEB_FUGLIEDERSTAERKE;nDau_LBEB_FUGLIEDERSTAERKE;nHerd_LBEB_FUGLIEDERSTAERKE;ebv_LBEB_FUSTELLUNGVORNE;rel_LBEB_FUSTELLUNGVORNE;nDau_LBEB_FUSTELLUNGVORNE;nHerd_LBEB_FUSTELLUNGVORNE;ebv_LBEB_FUSPRUNGGELENKWINKELUNG;rel_LBEB_FUSPRUNGGELENKWINKELUNG;nDau_LBEB_FUSPRUNGGELENKWINKELUNG;nHerd_LBEB_FUSPRUNGGELENKWINKELUNG;ebv_LBEB_FUFESSELN;rel_LBEB_FUFESSELN;nDau_LBEB_FUFESSELN;nHerd_LBEB_FUFESSELN;ebv_LBEB_FUKLAUEN;rel_LBEB_FUKLAUEN;nDau_LBEB_FUKLAUEN;nHerd_LBEB_FUKLAUEN;ebv_LBEB_FOEUTERLAENGE;rel_LBEB_FOEUTERLAENGE;nDau_LBEB_FOEUTERLAENGE;nHerd_LBEB_FOEUTERLAENGE;ebv_LBEB_FOEUTERTIEFE;rel_LBEB_FOEUTERTIEFE;nDau_LBEB_FOEUTERTIEFE;nHerd_LBEB_FOEUTERTIEFE;ebv_LBEB_FOZITZENLAENGE;rel_LBEB_FOZITZENLAENGE;nDau_LBEB_FOZITZENLAENGE;nHerd_LBEB_FOZITZENLAENGE;ebv_LBEB_FOZITZENDICKE;rel_LBEB_FOZITZENDICKE;nDau_LBEB_FOZITZENDICKE;nHerd_LBEB_FOZITZENDICKE;ebv_LBEB_BEKONDITION;rel_LBEB_BEKONDITION;nDau_LBEB_BEKONDITION;nHerd_LBEB_BEKONDITION;ebv_LBEB_BESCHULTER;rel_LBEB_BESCHULTER;nDau_LBEB_BESCHULTER;nHerd_LBEB_BESCHULTER;ebv_LBEB_BELENDEN;rel_LBEB_BELENDEN;nDau_LBEB_BELENDEN;nHerd_LBEB_BELENDEN;ebv_LBEB_BESTOTZENRUNDUNG;rel_LBEB_BESTOTZENRUNDUNG;nDau_LBEB_BESTOTZENRUNDUNG;nHerd_LBEB_BESTOTZENRUNDUNG;ebv_LBEB_BESTOTZENLAENGE;rel_LBEB_BESTOTZENLAENGE;nDau_LBEB_BESTOTZENLAENGE;nHerd_LBEB_BESTOTZENLAENGE
CH120034092498;LM;93.52;0.58;14;2;113.148;0.526;14;2;96.671;0.573;14;2;105.928;0.575;14;2;97.361;0.406;14;2;94.088;0.511;14;2;110.993;0.528;14;2;88.515;0.646;14;2;82.177;0.581;14;2;97.681;0.536;14;2;101.474;0.595;14;2;97.706;0.577;14;2;103.929;0.593;14;2;104.077;0.518;14;2
CH120034092719;LM;102.06;0.49;8;4;107.41;0.435;8;4;94.119;0.486;8;4;95.593;0.487;8;4;100.761;0.319;8;4;96.955;0.42;8;4;87.814;0.438;8;4;106.062;0.561;8;4;102.793;0.495;8;4;103.981;0.446;8;4;104.684;0.504;8;4;106.135;0.487;8;4;101.762;0.502;8;4;102.94;0.429;8;4
CH120034245498;AN;130.974;0.432;4;2;102.055;0.388;4;2;106.178;0.435;4;2;101.902;0.435;4;2;123.551;0.308;4;2;110.07;0.378;4;2;89.895;0.392;4;2;97.621;0.493;4;2;110.661;0.44;4;2;126.185;0.406;4;2;107.23;0.462;4;2;101.526;0.442;4;2;68.953;0.455;4;2;111.058;0.398;4;2
CH120034245856;AN;114.19;0.405;1;1;111.865;0.367;1;1;101.865;0.411;1;1;104.043;0.409;1;1;102.928;0.313;1;1;116.318;0.361;1;1;81.307;0.372;1;1;104.137;0.455;1;1;104.12;0.412;1;1;116.772;0.391;1;1;101.65;0.445;1;1;96.204;0.424;1;1;66.687;0.434;1;1;107.613;0.388;1;1
CH120034326555;CH;133.369;0.343;1;1;86.021;0.305;1;1;116.23;0.349;1;1;120.365;0.348;1;1;103.313;0.246;1;1;99.217;0.298;1;1;93.383;0.309;1;1;117.219;0.397;1;1;118.512;0.352;1;1;94.017;0.325;1;1;100.744;0.374;1;1;94.447;0.356;1;1;88.486;0.366;1;1;96.394;0.32;1;1
CH120034375607;AN;98.213;0.358;1;1;87.2;0.318;1;1;97.165;0.363;1;1;94.869;0.363;1;1;106.213;0.249;1;1;115.924;0.31;1;1;93.148;0.323;1;1;99.566;0.414;1;1;100.213;0.368;1;1;105.899;0.338;1;1;91.406;0.388;1;1;94.98;0.37;1;1;64.323;0.38;1;1;100.076;0.331;1;1
CH120034375959;AN;103.275;0.507;8;1;113.034;0.456;8;1;104.695;0.504;8;1;102.233;0.505;8;1;102.639;0.342;8;1;121.308;0.443;8;1;93.852;0.459;8;1;102.124;0.573;8;1;96.05;0.512;8;1;114.034;0.469;8;1;101.846;0.527;8;1;95.991;0.509;8;1;69.318;0.524;8;1;109.22;0.454;8;1
CH120034392796;LM;102.531;0.449;3;3;100.306;0.41;3;3;104.031;0.454;3;3;104.069;0.453;3;3;95.819;0.358;3;3;98.203;0.403;3;3;97.881;0.415;3;3;115.835;0.5;3;3;110.97;0.455;3;3;102.541;0.433;3;3;103.872;0.49;3;3;106.169;0.468;3;3;102.617;0.479;3;3;103.041;0.431;3;3
CH120034480745;AN;111.489;0.248;1;1;104.187;0.219;1;1;102.209;0.256;1;1;102.428;0.255;1;1;106.155;0.178;1;1;125.82;0.214;1;1;88.328;0.223;1;1;98.841;0.293;1;1;96.586;0.259;1;1;99.81;0.238;1;1;83.676;0.277;1;1;81.908;0.262;1;1;53.851;0.27;1;1;93.438;0.236;1;1
CH120034480752;AN;109.697;0.501;10;1;107.809;0.447;10;1;98.787;0.498;10;1;105.509;0.499;10;1;105.51;0.329;10;1;123.92;0.433;10;1;88.117;0.45;10;1;106.886;0.571;10;1;106.609;0.507;10;1;107.539;0.459;10;1;93.117;0.517;10;1;86.486;0.499;10;1;59.175;0.515;10;1;102.93;0.441;10;1
CH120034480875;AN;112.024;0.425;6;1;103.835;0.376;6;1;103.382;0.425;6;1;100.892;0.426;6;1;103.978;0.283;6;1;122.565;0.365;6;1;91.214;0.38;6;1;97.022;0.492;6;1;98.733;0.433;6;1;104.202;0.391;6;1;88.018;0.446;6;1;84.342;0.428;6;1;53.591;0.442;6;1;99.142;0.379;6;1
CH120034804664;SI;114.239;0.265;1;1;96.917;0.231;1;1;90.72;0.271;1;1;89.908;0.271;1;1;120.738;0.176;1;1;134.049;0.224;1;1;90.986;0.235;1;1;89.219;0.319;1;1;102.125;0.276;1;1;71.542;0.247;1;1;67.072;0.287;1;1;70.893;0.273;1;1;40.533;0.282;1;1;69.934;0.241;1;1
CH120034814816;SI;116.177;0.099;1;1;96.762;0.082;1;1;83.546;0.102;1;1;80.34;0.102;1;1;122.463;0.062;1;1;135.134;0.079;1;1;102.562;0.084;1;1;80.847;0.128;1;1;92.617;0.106;1;1;76.979;0.089;1;1;66.436;0.106;1;1;70.48;0.1;1;1;37.133;0.104;1;1;67.099;0.086;1;1
CH120035007804;LM;100.088;0.27;3;2;101.367;0.228;3;2;99.644;0.272;3;2;98.983;0.272;3;2;99.826;0.167;3;2;92.674;0.219;3;2;87.274;0.231;3;2;118.411;0.333;3;2;115.569;0.28;3;2;98.992;0.24;3;2;95.103;0.28;3;2;96.037;0.267;3;2;96.839;0.278;3;2;93.776;0.231;3;2
CH120035007811;LM;103.644;0.231;1;1;103.25;0.197;1;1;98.575;0.235;1;1;92.985;0.235;1;1;103.304;0.151;1;1;90.274;0.19;1;1;100.903;0.2;1;1;101.882;0.285;1;1;106.127;0.241;1;1;99.437;0.21;1;1;98.619;0.246;1;1;98.96;0.234;1;1;99.322;0.243;1;1;97.947;0.205;1;1
CH120035007972;LM;94.739;0.375;5;2;99.24;0.328;5;2;106.923;0.377;5;2;101.675;0.377;5;2;93.325;0.254;5;2;104.81;0.317;5;2;98.574;0.332;5;2;102.207;0.441;5;2;101.371;0.384;5;2;103.731;0.344;5;2;106.885;0.395;5;2;108.471;0.378;5;2;103.331;0.391;5;2;105.838;0.334;5;2
CH120035030031;AN;112.3;0.437;6;5;90.802;0.386;6;5;120.296;0.436;6;5;119.884;0.437;6;5;94.615;0.285;6;5;149.408;0.374;6;5;76.456;0.39;6;5;93.64;0.506;6;5;98.181;0.445;6;5;111.82;0.4;6;5;91.573;0.455;6;5;87.898;0.438;6;5;57.938;0.452;6;5;94.376;0.386;6;5
CH120035068119;AN;100.598;0.492;9;1;84.955;0.441;9;1;104.834;0.49;9;1;97.605;0.491;9;1;107.051;0.332;9;1;120.328;0.427;9;1;91.782;0.444;9;1;111.447;0.56;9;1;102.723;0.498;9;1;113.437;0.454;9;1;93.368;0.512;9;1;95.1;0.493;9;1;56.981;0.508;9;1;102.809;0.439;9;1
CH120035270185;LM;106.699;0.591;13;2;101.833;0.543;13;2;110.885;0.586;13;2;108.315;0.587;13;2;100.819;0.437;13;2;109.281;0.53;13;2;86.063;0.545;13;2;112.969;0.649;13;2;109.375;0.593;13;2;111.457;0.555;13;2;109.737;0.614;13;2;110.87;0.595;13;2;107.733;0.609;13;2;107.855;0.541;13;2
CH120035270215;LM;107.996;0.518;7;2;104.647;0.469;7;2;102.409;0.516;7;2;98.542;0.516;7;2;100.298;0.373;7;2;110.467;0.457;7;2;98.231;0.472;7;2;105.247;0.58;7;2;104.775;0.522;7;2;96.976;0.484;7;2;95.673;0.543;7;2;97.616;0.523;7;2;92.562;0.537;7;2;98.769;0.472;7;2
CH120035270536;LM;102.852;0.399;1;1;99.727;0.364;1;1;103.332;0.406;1;1;98.953;0.404;1;1;101.531;0.335;1;1;103.931;0.36;1;1;91.047;0.369;1;1;107.023;0.442;1;1;105.571;0.405;1;1;106.485;0.391;1;1;107.154;0.446;1;1;107.848;0.423;1;1;102.259;0.433;1;1;104.885;0.393;1;1
CH120035283109;SI;116.745;0.089;1;1;99.075;0.074;1;1;85.353;0.092;1;1;82.353;0.092;1;1;119.65;0.058;1;1;128.782;0.072;1;1;99.142;0.076;1;1;90.814;0.114;1;1;96.796;0.095;1;1;75.605;0.081;1;1;67.841;0.097;1;1;71.908;0.091;1;1;37.107;0.095;1;1;68.541;0.08;1;1
CH120035592959;LM;102.167;0.27;3;1;122.343;0.231;3;1;89.732;0.273;3;1;92.956;0.273;3;1;106.82;0.174;3;1;103.559;0.223;3;1;92.105;0.235;3;1;103.524;0.33;3;1;102.232;0.28;3;1;101.401;0.245;3;1;96.766;0.285;3;1;99.401;0.272;3;1;94.099;0.282;3;1;94.101;0.237;3;1
CH120035593215;LM;102.735;0.584;15;1;87.738;0.53;15;1;108.897;0.577;15;1;114.654;0.579;15;1;93.719;0.394;15;1;103.851;0.514;15;1;88.005;0.531;15;1;97.153;0.65;15;1;98.716;0.586;15;1;97.635;0.538;15;1;96.242;0.597;15;1;95.14;0.58;15;1;97.446;0.596;15;1;97.555;0.518;15;1
CH120035724640;AN;106.384;0.408;1;1;96.498;0.364;1;1;102.073;0.411;1;1;98.013;0.411;1;1;102.88;0.281;1;1;128.699;0.354;1;1;82.11;0.368;1;1;107.491;0.468;1;1;99.73;0.417;1;1;117.058;0.382;1;1;103.106;0.436;1;1;99.746;0.417;1;1;72.928;0.429;1;1;108.958;0.373;1;1
CH120035915543;LM;92.524;0.395;2;1;94.268;0.352;2;1;109.449;0.399;2;1;97.099;0.398;2;1;95.617;0.269;2;1;105.864;0.342;2;1;98.2;0.356;2;1;100.025;0.456;2;1;105.488;0.405;2;1;101.628;0.369;2;1;104.251;0.422;2;1;106.188;0.404;2;1;104.106;0.416;2;1;104.28;0.36;2;1
CH120035924897;LM;90.926;0.249;2;1;102.604;0.211;2;1;91.188;0.252;2;1;93.771;0.252;2;1;98.748;0.156;2;1;110.11;0.203;2;1;98.506;0.215;2;1;83.832;0.308;2;1;91.735;0.26;2;1;100.188;0.224;2;1;99.63;0.262;2;1;98.457;0.249;2;1;102.227;0.259;2;1;98.426;0.217;2;1
CH120037048591;CH;133.248;0.461;10;1;88.722;0.405;10;1;104.664;0.457;10;1;117.915;0.459;10;1;110.172;0.289;10;1;112.434;0.39;10;1;99.468;0.408;10;1;100.741;0.535;10;1;97.36;0.468;10;1;99.394;0.416;10;1;103.591;0.472;10;1;105.87;0.455;10;1;78.887;0.471;10;1;97.047;0.398;10;1
CH120037087668;LM;105.067;0.387;2;2;91.221;0.338;2;2;107.765;0.387;2;2;115.19;0.388;2;2;101.194;0.248;2;2;109.877;0.326;2;2;92.815;0.342;2;2;92.394;0.455;2;2;94.508;0.396;2;2;102.139;0.352;2;2;105.123;0.404;2;2;103.784;0.387;2;2;104.779;0.401;2;2;113.226;0.34;2;2
CH120037341135;LM;105.028;0.458;6;1;82.104;0.405;6;1;101.309;0.456;6;1;105.112;0.457;6;1;101.955;0.293;6;1;101.819;0.391;6;1;99.36;0.408;6;1;106.054;0.529;6;1;106.374;0.465;6;1;104.739;0.417;6;1;99.9;0.473;6;1;98.608;0.456;6;1;106.837;0.471;6;1;95.828;0.401;6;1
CH120037637689;LM;97.295;0.332;2;1;90.626;0.294;2;1;101.903;0.338;2;1;107.558;0.337;2;1;90.493;0.231;2;1;91.952;0.286;2;1;100.788;0.298;2;1;112.094;0.388;2;1;108.888;0.342;2;1;100.887;0.313;2;1;100.142;0.36;2;1;105.62;0.343;2;1;100.733;0.354;2;1;94.734;0.306;2;1
CH120037637849;LM;100.229;0.307;1;1;92.556;0.272;1;1;96.995;0.314;1;1;104.066;0.313;1;1;94.509;0.217;1;1;94.281;0.266;1;1;103.735;0.277;1;1;110.006;0.359;1;1;106.766;0.318;1;1;102.488;0.292;1;1;101.474;0.338;1;1;106.25;0.321;1;1;102.533;0.33;1;1;95.958;0.287;1;1
CH120037638143;LM;100.758;0.307;4;2;107.71;0.259;4;2;90.686;0.307;4;2;96.118;0.308;4;2;115.999;0.185;4;2;107.157;0.248;4;2;103.881;0.262;4;2;93.318;0.379;4;2;97.777;0.318;4;2;103.487;0.27;4;2;109.304;0.314;4;2;108.515;0.301;4;2;107.421;0.314;4;2;103.061;0.258;4;2
CH120037960022;LM;104.008;0.41;2;1;101.957;0.372;2;1;110.901;0.415;2;1;104.385;0.414;2;1;95.55;0.322;2;1;95.428;0.366;2;1;107.363;0.377;2;1;99.261;0.459;2;1;93.997;0.417;2;1;97.193;0.396;2;1;98.298;0.451;2;1;96.549;0.429;2;1;97.975;0.439;2;1;99.234;0.394;2;1
CH120038083300;SI;103.377;0.276;1;1;95.965;0.241;1;1;92.246;0.282;1;1;93.026;0.282;1;1;120.286;0.188;1;1;112.372;0.235;1;1;102.379;0.246;1;1;98.856;0.328;1;1;98.865;0.287;1;1;94.679;0.259;1;1;87.54;0.301;1;1;87.604;0.286;1;1;61.022;0.295;1;1;91.304;0.254;1;1
CH120038107204;AN;112.169;0.416;7;5;89.953;0.366;7;5;110.457;0.416;7;5;109.281;0.417;7;5;104.363;0.274;7;5;130.93;0.354;7;5;80.621;0.37;7;5;97.561;0.485;7;5;96.359;0.425;7;5;135.928;0.381;7;5;117.14;0.435;7;5;112.488;0.417;7;5;79.234;0.431;7;5;120.608;0.368;7;5
CH120038126342;AN;108.662;0.532;11;2;104.342;0.479;11;2;95.181;0.528;11;2;102.512;0.529;11;2;107.687;0.354;11;2;123.607;0.464;11;2;96.147;0.481;11;2;97.478;0.6;11;2;95.967;0.537;11;2;110.505;0.489;11;2;90.943;0.548;11;2;81.894;0.53;11;2;55.224;0.546;11;2;99.834;0.471;11;2
CH120038151528;CH;130.6;0.519;11;1;84.417;0.466;11;1;109.874;0.515;11;1;100.308;0.517;11;1;107.947;0.349;11;1;104.908;0.452;11;1;96.912;0.469;11;1;111.7;0.587;11;1;113.838;0.524;11;1;93.912;0.478;11;1;100.623;0.537;11;1;95.738;0.519;11;1;85.073;0.534;11;1;90.893;0.461;11;1
CH120038151801;CH;117.688;0.368;4;1;96.12;0.321;4;1;111.079;0.37;4;1;102.894;0.37;4;1;106.627;0.243;4;1;95.022;0.311;4;1;114.679;0.325;4;1;101.844;0.433;4;1;100.806;0.377;4;1;99.658;0.337;4;1;98.031;0.387;4;1;96.174;0.371;4;1;85.379;0.383;4;1;94.396;0.327;4;1
CH120038290210;CH;117.076;0.345;2;1;78.648;0.309;2;1;118.859;0.352;2;1;115.491;0.351;2;1;95.733;0.252;2;1;107.253;0.302;2;1;87.719;0.314;2;1;125.697;0.398;2;1;117.202;0.355;2;1;103.849;0.33;2;1;115.511;0.38;2;1;108.119;0.361;2;1;102.689;0.371;2;1;109.684;0.326;2;1
CH120038403269;AN;116.556;0.673;24;3;97.528;0.622;24;3;125.331;0.663;24;3;113.049;0.665;24;3;110.557;0.46;24;3;118.592;0.605;24;3;94.971;0.622;24;3;84.406;0.733;24;3;100.835;0.673;24;3;114.963;0.625;24;3;99.778;0.681;24;3;93.916;0.666;24;3;64.089;0.683;24;3;107.758;0.599;24;3
CH120038423373;LM;101.011;0.488;14;1;102.236;0.428;14;1;108.028;0.482;14;1;104.587;0.484;14;1;95.213;0.3;14;1;92.407;0.411;14;1;114.692;0.431;14;1;95.416;0.567;14;1;97.492;0.494;14;1;85.582;0.436;14;1;87.401;0.494;14;1;88.858;0.478;14;1;91.755;0.495;14;1;89.621;0.415;14;1
CH120038710626;AN;95.347;0.327;1;1;94.356;0.29;1;1;98.166;0.334;1;1;100.742;0.333;1;1;101.522;0.235;1;1;131.225;0.283;1;1;81.28;0.295;1;1;105.626;0.38;1;1;103.481;0.337;1;1;108.406;0.31;1;1;95.261;0.358;1;1;91.672;0.34;1;1;65.297;0.35;1;1;103.428;0.306;1;1
CH120038790055;LM;94.098;0.39;5;1;105.216;0.342;5;1;110.816;0.391;5;1;109.552;0.391;5;1;90.589;0.267;5;1;92.216;0.332;5;1;100.145;0.346;5;1;106.924;0.454;5;1;106.094;0.398;5;1;94.831;0.359;5;1;97.014;0.411;5;1;97.882;0.393;5;1;95.77;0.406;5;1;99.447;0.349;5;1
CH120038844703;LM;105.179;0.397;4;1;97.078;0.355;4;1;92.045;0.401;4;1;102.398;0.4;4;1;104.643;0.291;4;1;97.48;0.347;4;1;103.67;0.359;4;1;92.491;0.454;4;1;91.425;0.405;4;1;107.51;0.376;4;1;112.511;0.429;4;1;110.219;0.409;4;1;117.537;0.421;4;1;110.671;0.37;4;1
CH120038844840;LM;111.679;0.289;1;1;94.522;0.254;1;1;105.155;0.296;1;1;103.849;0.295;1;1;102.976;0.199;1;1;82.189;0.248;1;1;109.226;0.259;1;1;100.804;0.341;1;1;109.148;0.3;1;1;97.355;0.273;1;1;96.284;0.316;1;1;96.654;0.3;1;1;96.192;0.31;1;1;99.142;0.267;1;1
CH120038844857;LM;101.827;0.287;1;1;94.382;0.252;1;1;107.696;0.294;1;1;105.479;0.293;1;1;97.621;0.197;1;1;94.53;0.246;1;1;106.251;0.257;1;1;99.127;0.339;1;1;96.952;0.298;1;1;96.307;0.27;1;1;95.745;0.313;1;1;94.24;0.298;1;1;97.614;0.307;1;1;98.474;0.265;1;1
CH120038892520;AN;104.902;0.563;16;4;88.292;0.506;16;4;92.13;0.556;16;4;94.737;0.558;16;4;101.83;0.368;16;4;123.705;0.49;16;4;90.945;0.508;16;4;98.488;0.633;16;4;99.285;0.566;16;4;132.149;0.514;16;4;112.65;0.573;16;4;108.066;0.556;16;4;77.422;0.573;16;4;116.893;0.492;16;4
CH120039325805;LM;101.171;0.747;42;2;94.842;0.699;42;2;95.37;0.734;42;2;87.171;0.737;42;2;98.565;0.514;42;2;101.355;0.682;42;2;99.254;0.698;42;2;105.883;0.8;42;2;105.587;0.744;42;2;88.182;0.696;42;2;83.637;0.747;42;2;83.116;0.736;42;2;86.902;0.752;42;2;84.081;0.665;42;2
CH120039388770;AN;103.372;0.28;2;1;92.783;0.243;2;1;97.034;0.285;2;1;98.472;0.284;2;1;104.787;0.188;2;1;123.917;0.236;2;1;93.964;0.247;2;1;93.386;0.335;2;1;89.806;0.29;2;1;102.188;0.259;2;1;90.226;0.302;2;1;86.554;0.287;2;1;67.497;0.297;2;1;101.125;0.254;2;1
CH120039388947;AN;105.32;0.554;15;1;107.628;0.498;15;1;116.357;0.548;15;1;105.538;0.549;15;1;104.219;0.36;15;1;127.417;0.482;15;1;80.206;0.5;15;1;98.214;0.624;15;1;93.14;0.558;15;1;113.451;0.506;15;1;98.162;0.565;15;1;94.989;0.548;15;1;66.41;0.565;15;1;104.962;0.485;15;1
CH120039388954;AN;114.282;0.393;5;2;97.595;0.347;5;2;98.162;0.395;5;2;102.457;0.395;5;2;108.544;0.263;5;2;125.644;0.336;5;2;89.144;0.351;5;2;92.183;0.459;5;2;89.505;0.402;5;2;119.586;0.363;5;2;105.386;0.416;5;2;103.701;0.398;5;2;78.298;0.411;5;2;114.212;0.353;5;2
CH120039403442;SI;120.549;0.356;1;1;88.075;0.322;1;1;94.594;0.364;1;1;91.079;0.363;1;1;114.998;0.265;1;1;128.127;0.317;1;1;85.819;0.327;1;1;115.353;0.403;1;1;110.714;0.366;1;1;88.903;0.346;1;1;93.078;0.396;1;1;88.51;0.376;1;1;63.132;0.386;1;1;99.113;0.343;1;1
CH120039672213;AN;105.767;0.456;1;1;101.248;0.41;1;1;108.067;0.457;1;1;109.09;0.457;1;1;101.849;0.333;1;1;123.054;0.401;1;1;88.256;0.414;1;1;102.381;0.515;1;1;106.741;0.462;1;1;115.579;0.429;1;1;94.625;0.486;1;1;93.744;0.466;1;1;57.58;0.479;1;1;94.26;0.421;1;1
CH120039828948;SI;116.138;0.145;1;1;94.325;0.126;1;1;93.879;0.152;1;1;85.86;0.151;1;1;117.993;0.104;1;1;134.123;0.123;1;1;102.151;0.129;1;1;80.944;0.176;1;1;89.435;0.153;1;1;82.999;0.14;1;1;76.961;0.165;1;1;80.112;0.155;1;1;46.293;0.16;1;1;76.146;0.139;1;1
CH120040022151;AN;109.565;0.639;19;1;97.569;0.586;19;1;83.704;0.63;19;1;85.765;0.632;19;1;115.633;0.431;19;1;137.777;0.569;19;1;89.15;0.586;19;1;96.768;0.702;19;1;97.072;0.639;19;1;122.38;0.59;19;1;105.459;0.648;19;1;104.011;0.633;19;1;75.85;0.649;19;1;111.682;0.566;19;1
CH120040022274;AN;100;0.279;2;1;107.151;0.247;2;1;90.751;0.287;2;1;92.365;0.286;2;1;112.493;0.208;2;1;121.972;0.242;2;1;90.571;0.252;2;1;93.049;0.326;2;1;93.338;0.289;2;1;118.759;0.268;2;1;100.884;0.311;2;1;98.995;0.294;2;1;71.263;0.303;2;1;110.357;0.266;2;1
CH120040022496;AN;106.316;0.367;1;1;96.503;0.331;1;1;104.607;0.374;1;1;109.773;0.372;1;1;99.605;0.285;1;1;125.168;0.326;1;1;90.102;0.336;1;1;101.465;0.415;1;1;101.869;0.375;1;1;124.172;0.355;1;1;100.69;0.407;1;1;101.505;0.387;1;1;69.922;0.396;1;1;103.211;0.354;1;1
CH120040022533;AN;113.102;0.29;2;1;110.142;0.253;2;1;101.645;0.295;2;1;101.025;0.294;2;1;108.178;0.205;2;1;121.656;0.246;2;1;84.333;0.257;2;1;98.348;0.343;2;1;94.714;0.299;2;1;113.698;0.272;2;1;100.299;0.315;2;1;98.156;0.299;2;1;69.586;0.309;2;1;107.038;0.267;2;1
CH120040190652;AN;117.187;0.468;7;1;98.438;0.423;7;1;113.87;0.469;7;1;107.206;0.469;7;1;112.647;0.337;7;1;114.48;0.413;7;1;92.448;0.427;7;1;101.311;0.528;7;1;112.709;0.475;7;1;128.159;0.441;7;1;107.027;0.498;7;1;101.802;0.478;7;1;65.257;0.491;7;1;111.9;0.432;7;1
CH120040190690;AN;105.524;0.411;4;2;86.362;0.367;4;2;110.82;0.414;4;2;107.668;0.414;4;2;104.306;0.285;4;2;123.681;0.358;4;2;79.193;0.372;4;2;96.757;0.471;4;2;104.656;0.42;4;2;108.663;0.386;4;2;95.406;0.44;4;2;96.269;0.421;4;2;65.603;0.433;4;2;105.146;0.377;4;2
CH120040190928;AN;95.866;0.544;7;1;112.072;0.493;7;1;104.29;0.54;7;1;104.165;0.541;7;1;97.486;0.374;7;1;123.853;0.48;7;1;82.127;0.496;7;1;104.939;0.607;7;1;99.908;0.548;7;1;126.199;0.506;7;1;106.555;0.564;7;1;103.383;0.546;7;1;75.257;0.561;7;1;109.171;0.489;7;1
CH120040545704;SI;117.863;0.131;2;1;105.998;0.108;2;1;84.33;0.134;2;1;84.832;0.134;2;1;125.661;0.081;2;1;135.459;0.104;2;1;92.173;0.111;2;1;86.696;0.169;2;1;97.332;0.139;2;1;79.253;0.116;2;1;71.48;0.138;2;1;75.48;0.131;2;1;43.9;0.137;2;1;73.747;0.113;2;1
CH120040579105;AN;112.378;0.204;1;1;98.687;0.175;1;1;107.317;0.209;1;1;107.011;0.209;1;1;108.457;0.14;1;1;114.744;0.169;1;1;94.512;0.178;1;1;93.774;0.251;1;1;97.847;0.214;1;1;113.292;0.189;1;1;94.516;0.222;1;1;90.643;0.21;1;1;62.415;0.218;1;1;100.255;0.186;1;1
CH120040870486;LM;93.675;0.356;3;1;78.622;0.316;3;1;110.326;0.361;3;1;110.467;0.36;3;1;94.355;0.258;3;1;93.793;0.309;3;1;91.758;0.321;3;1;100.624;0.412;3;1;105.727;0.365;3;1;103.813;0.337;3;1;101.807;0.387;3;1;100.557;0.369;3;1;103.924;0.379;3;1;97.42;0.332;3;1
CH120040872701;LM;97.615;0.486;6;1;90.698;0.435;6;1;102.703;0.484;6;1;103.401;0.485;6;1;96.956;0.334;6;1;96.393;0.423;6;1;109.64;0.439;6;1;103.43;0.552;6;1;95.728;0.492;6;1;107.622;0.45;6;1;109.667;0.508;6;1;111.285;0.489;6;1;112.757;0.503;6;1;106.946;0.437;6;1
CH120041005184;AN;110.663;0.488;11;2;103.173;0.434;11;2;88.616;0.484;11;2;95.299;0.486;11;2;115.489;0.318;11;2;120.887;0.419;11;2;84.428;0.436;11;2;106.607;0.559;11;2;112.956;0.494;11;2;114.963;0.445;11;2;97.211;0.502;11;2;89.588;0.485;11;2;68.306;0.501;11;2;105.102;0.428;11;2
CH120041227012;LM;106.515;0.462;5;1;90.9;0.413;5;1;104.545;0.462;5;1;95.159;0.462;5;1;103.92;0.315;5;1;95.342;0.401;5;1;102.793;0.417;5;1;87.001;0.528;5;1;102.244;0.469;5;1;102.119;0.429;5;1;103.615;0.485;5;1;104.294;0.467;5;1;108.395;0.48;5;1;100.588;0.416;5;1
CH120041244309;AN;114.307;0.416;7;1;111.756;0.366;7;1;92.377;0.416;7;1;84.534;0.417;7;1;124.206;0.275;7;1;116.939;0.355;7;1;97.51;0.37;7;1;95.77;0.485;7;1;97.027;0.424;7;1;110.38;0.381;7;1;90.447;0.435;7;1;90.96;0.418;7;1;53.857;0.431;7;1;98.498;0.369;7;1
CH120041456566;LM;93.777;0.315;2;2;94.522;0.277;2;2;98.003;0.321;2;2;102.894;0.32;2;2;91.976;0.22;2;2;95.544;0.27;2;2;98.663;0.282;2;2;102.746;0.371;2;2;102.067;0.325;2;2;101.523;0.296;2;2;102.834;0.342;2;2;97.004;0.326;2;2;102.536;0.336;2;2;104.822;0.29;2;2
CH120041456689;LM;100.535;0.43;3;1;104.29;0.393;3;1;106.163;0.436;3;1;101.858;0.434;3;1;98.516;0.358;3;1;91.577;0.388;3;1;103.052;0.399;3;1;106.442;0.475;3;1;100.336;0.435;3;1;100.406;0.42;3;1;103.875;0.476;3;1;101.304;0.453;3;1;104.323;0.463;3;1;104.362;0.42;3;1
CH120041456726;LM;104.849;0.317;2;1;99.297;0.271;2;1;85.5;0.318;2;1;79.463;0.319;2;1;110.239;0.197;2;1;108.494;0.26;2;1;99.108;0.275;2;1;87.557;0.386;2;1;90.346;0.327;2;1;103.823;0.284;2;1;106.213;0.329;2;1;106.74;0.315;2;1;105.484;0.327;2;1;106.293;0.273;2;1
